	Bcl6	Epas1	Foxo1	Hey1	Klf2	Nfkb1	Nr1d1	Nr4a2	Rora
Abcb1a	0	0	0	0	0	0	0	0	0.80531
Actn2	0.99907	0	0	0	0	0	0	0	0.18951
Aff1	0	0	0	0	0	0	0	0.77664	0
Aff4	0	0	0	0	0	0	0.54388	-0.22844	0
Arrb1	0.41139	0	0	0	0	0	0	0	0.7137
Atxn7	0.059255	0	0	0	0	0	0	0	0.41359
Cables1	0.41569	0	0	0	0	0	-0.27831	0	0
Cap2	0.91536	0	0	0	0	0	0	0	0
Chd7	0	0	0	0	0.12359	0	0	0.61491	0
Chst15	0	0	0	0	0	0	0.92075	0	0.27269
Cish	0	0	0	0	0	0.82502	0	0	0
Clcn3	0	0	0	0	0	0	0	0	0.96856
Cnnm2	0	0	0	0	0	0.76449	0.51885	0	0
Cwc25	0	0	0	0.50742	0	0	0	0	0
Cxcl3	0.96856	0	0	0	0	0	0	0	0
Dgat1	-0.45763	0	0	0	0	0	0	0	-0.49081
Eef2k	0	0	0	0	0	0	0	0	0.84709
Ell2	0	0	0	0	0	0.088906	0	0	0
Elovl7	0	0	0	0	0.93967	0	0	0	0
Emb	0	0	0	0	0	0	0	0	0.96469
Eprs	0	0	0	0	0	0	0	0	0.92431
Fasl	0	0	0	0	0	0	0	-0.19137	0
Foxo1	0.25266	0	0	0	0	0	0	0	0
Frmd6	0.48501	0	0	0	0	0	0.735	0	0
Gimap6	0	0.7711	0	0	0.060128	0	0	0.9634	0
Gls2	0	0	0	0	0	0	0	0	0.22392
Gzmb	0	0	0	0	0	0	0	0.99846	0
Gzmc	0.8493	0	0	0	0	0	0	0	-0.3838
Hspa1b	0.61745	0	0	0	0	0	0	0	0
Igsf5	0	0	0	0	0	0	-0.46885	0	0
Il17a	0	0	0	0	0	0	0	0	-0.022951
Il17f	0.33091	0	0	0	0	0	0.97666	0	0
Il2rb	0	0	0.78792	0	0	0	0	0	0
Irak2	-0.15545	0	0	0	0	0	0	0	0
Kif13a	-0.57982	0	0	0	0	0	0.81033	-0.81209	0.96737
Klrb1b	0.98563	0	0	0	0	0	0	0	0
Klrb1c	0	-0.84849	0	0	0	-0.84247	0	0.84883	-0.49684
Large	0	0	0	0	0	0	0.47967	0	0.80531
Lats2	0.83987	0	0	0	0	0	0	0	0
Lgals3	0	0	0	0.75026	0.87761	0	0	0	0
Litaf	0	0	0	0	0	0	0	0.8735	0
Lonrf3	0	0	0	0.69115	0	0	0.72639	0	0
Lrrc20	0.81209	0	0	0	0	0	0	0	0
Ltb4r1	0.77664	0	0	0	0	0.69137	0.91144	0	0
Ly86	0	0	0	0	0	0	0.44547	0	0
Mapkapk2	-0.62602	0	0	0	0	0	0	0.9027	0.34673
Med13	0	0	0.022421	0	0	0	0	0	0
Megf9	0	0	0	0	0	0	0	0	0.84709
Mpzl3	0.62485	0	0	0	0	0	0	0	0.27652
Ncoa7	0	0	0	0	0	0	0.051994	0	0.97325
Nfkb1	0	0	0	0	0	0	0	0	0.043503
Nr1d1	0	0	0	0.93027	0	0	0	0	0.93691
Nr4a2	0.74886	0	0	0	0	0	0	0	0
Pde4b	0.6462	0	0	0	0	0	0	0	0
Pde4d	0	0	0	0	0	0.64081	-0.19805	0.64582	0
Pdgfa	0	0	0	0	0	0	0	0.65505	0
Pigl	-0.2637	0	0	0	0	0	0.92777	0	0.92205
Plxdc2	-0.86315	0	0	0	0	0	0.98249	0	0.91758
Ppm1k	0.050452	0	0	0	0	0	0.60305	0	0.76848
Ppp1r16b	0.90416	0	0	0	0	0	0	0	0
Ptpn6	0	0	0	0	0.73523	0	0	0.98146	0.40696
Ptpn7	0	0	0	0	0.27227	0	0	0	0
Rgs9	0.86075	0	0	0	0	0	0	-0.81916	0.97445
Rora	0	0	0	0	-0.7368	0.3838	0.61293	0	0
Rsad2	0	0	0	0	0	0	0.02574	0	0
Serpinb1b	0	0	0	0	0	0	0	0.91144	0
Slc38a1	-0.76267	0	0	0	0	0	0	0	0.99299
Slc6a7	0	0	0	0	0	0	0	0	-0.92777
Src	0	0	0	0	0	0	0	0	0.90416
Susd2	0.84635	0	0	0	0	0.57745	0	0	0
Sytl3	0	0	0	0	0	0	0	0.39283	0
Tex2	-0.30271	0.80232	0	0	0	0	0	0	0.75883
Tifa	0	0	0	0	0	0	0.69721	0	0
Ttn	0	0	0	0	0	0	0	0.48084	0.68462
Usp38	0	0	0	0	0	0	0	-0.73892	0.26592
Wwtr1	0.96856	0	0	0	0	0	0.95041	0	0.46602
Xlr4a	0.93565	0	0	0	0	0	0.84495	0	0
